CFPR1
source|sha256-path-length-bytes-v1|320|7f461999fb81a5c3de449f1c170e4532ebb11f56518ddb616432e610c7fef5e9
columns|kind|seed|chunkX|chunkZ|blocksSha256|exactStateCount|exactStatesSha256|btikCount|btikSha256|ftikCount|ftikSha256|postprocessedOccurrences|finalPostprocessMarkCount|finalPostprocessMarksSha256|finalCarrierSha256|sidecarsSha256|successorStrSha256|wgrSuccessorSha256|wgrContinuationHex
r|carrier-origin|0|0|0|4e48fd9bb9aef45744b020a1c6e72d50e7692a9dc0374adb97e46a1bb6b7790a|86|3f56f324ab34aa97347ce798eeaa073f9d3ce6c41f5fd0340aa3462308c8f967|56|a1b9b62f8203d99f217f0af57c13c2af37d3d7c730a123703187fa061ba379cc|173|f8ae2aaf5a0e7be7975faad6064b8ec796899859d6c851780554581b8d1bd09a|260|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|10b05d33875367970fa8298ccb747a6737d296a7fd57e4e43c25ca4df1cb96a9|8fe4db798ebc45368def942d2e3b7349ad1be79347e51388fbd664381238d5a5|c1f6ee1c501ae15bdcc0889a4f204f82ab1d450ea71bf34957323e97467e9937|abaf871cd92652b249120546a61de9c5ce7979e632c4599d26f968ff71350dfe|501e06d481b037e1,2f104d6ba3545557,bd83b0606e1d9a82,5494cd0a5b1a4115,d513e57288533a83,b995d07d474bb69d,67faee2a076b80cc,ac303ca5027a3388
r|carrier-origin|0|3|3|1d3ed4189b63374d09c7afbbee18943f7369921f5b0a8daac55833389acc645c|604|056efc336ff36d65e84add177f9b125fe603aa21ac8a6e5b45f3de387c7408ed|386|fd85301b84a8f18d9843a3df2f913e68c77479baea0d6b1712eeec53b2a07d5f|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|4|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|4136aa13c1fd3019da5d7f6379e35ccf2ce852559581aa6996aa3eef039f13d5|4af5feeb1025dd65e527ef95ec839956b6cdda5bcb388e60501d3a2fd359e383|ac7a674d8462f09cf3cb906dbea801eff5d0ebd255353f0f086a7a1e9acd8937|ea08c79b05392758113ff003793736127491e8713e595b3d000389cdc4d0982d|776173609c1d6edd,3626942c9a5951a1,cba6c99a800b5c53,d00db440ec2c1d80,a17008ea04df28c9,4da2eb61aeb6e7b2,8ab1d7f6f8848ce6,5747c884f08b3e7d
r|carrier-origin|0|4|3|0f357b45989e903d7a32550c0294c9aa119fa07ed477bd4d68dab2b8bbb4ef36|378|c94a912b50837906f7c77afe93b3cd12ffbc843f4199e6a95c83e4db028898db|234|792d73c511159be17b7b035c8b526df0f292b39e0db2849fb5962a44846cdb9f|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|4|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|98a39a19b2f7dd264dba451acbfe56eb2affb58629ce79b2ed740007eab191cc|d34af5ca7df050865fc782dfdfc0647e67425970ded0582910862aa36f328fa4|314624a73cd13bf279cb673d770f8bd516ebc312c70dcf1a02e613ec0662e3d4|f7cc7d148a6055b7f6bc3628acebe3d7410032301ee7553a5273569cdc8e5abe|1dd9ca6d6137b076,bd5e56701e8dc2fe,67b895d5f4534bda,977b346fb4aed3f1,c7c5b756ebcde42f,81dbe646cacfe8aa,c04aed8c126e59c3,1f0679a95c463b43
r|carrier-origin|0|200|200|5b9834597c3e3d42065a3dca5347e3c73fd0c7a1048a5d357c5f6e1e910d4b37|18|a74df6c854c68a820925e66a51f312d8ff289aee275125026e558439e344a77e|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|1|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|8679d78317bb308fb5af170e2b2a80345ba0e508903c8e437ce3439d7f430707|a4a2c2ff8a3c86ae79b7a08e2c3a53f66b389b5441816a114f25a506fe2e4d5e|897e952a1ba5ddf4cbc4a8fa09c1984ec541d427d128b83903fa97bd58d50f10|7dc24d43e6cc617059ee1974c59ec81cc4f90578d818ae89b3fb9bbe24a785d7|c6ce0e6fa7192a68,cd5802687d433501,18d188cbe048d0b7,6daac5408087e705,606af7e20f42e51d,e125eb26f426e0d3,3d545a47f963087c,3ec5584a3ef3f470
r|monument-probe|0|-44|-87|3ae53d87e1f575de5a40fd1c8a2b86118c7ddda94dba08c982a0eb901c872d64|38|19c31741764783ab15ea5710f08adb6724b0ca97715ad481278ae22a7d915248|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|1187|c48bad94ca68ea7732912590c91ea6195ff315b70f05783fef099cf2e9c4a41c|7|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|775f3dd733981580ea4b7cdc08f3889fe06c32663ec0f9c205dac990ab176fa7|ecc42812302f5a0bfefe53e2d1a051c071f05e1c7d86c66767d7fff312fc8fd4|c104babf429f0d7967eda6932c8494ffb8aa9e13b7dfcf53a22869133618afa9|4d2505f7660fc051db526f2379342effb608c0712de4f22175519bc03de1cca5|9e9e5be71d3b7a32,fbbb6ef7e1298675,592283915425fffd,8afbe11f282bbb6c,42e82218401c13d1,177f1539a21fe052,65115e2006137ac6,7a57d9b3d8c3695c
r|monument-probe|0|-21|-79|b60bf7fd0201e617bf0d5249a92ede20a89c506901d18dfdd94f8e104c861357|46|41c4dac5676d89c53e8b55003160230c815dd04ed27b60c863b8d7147eb3bd79|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|2|52ac2e5f3f2d0fbc3f3f94493d8633247c5193fdd66a849ae77337c41e6eebde|0|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|d71dab0b77a8d69c19a1af493bcd64453b9c017eb7f937e8ac91afc5c9844deb|92a08398252de65d47b6d8b2cb7ccccfd852f0211e53a82caf5ef6d64db9b0d3|85ae65fa49f00e2fb8e77c6184358477034b361c51ad15f4c7fac2e16c1e6b10|3bb946988c14de7259bc450b68d07a19ec3d388be11c23f311f377530841bda1|49fb640bf62c9a0d,d40b8c09ccc950a1,3142aff05276181b,889ea000916cbb1e,c42f3c752f61e5f7,5146246a3fbdecd6,1d29c4df2e080457,5af6ec5e781e7f0c
r|monument-probe|0|74|-85|e8aa8dc1a2f9fe93f9a23252d338aeeead303b50d1adee7e67d87d60fde14f54|51|352d0a86a720892e1ae38f7a1ebd59e68116d4b5969dfbfe962be85f6d279830|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|793|868fcb1f312c8ef90f446cbccd18f35b6bcb9eebfaddd7ed3bcf41d6fc221e7f|3|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|ae710f904693f2df248fd98e6e947d053e408712b6e7760b2ed79e50b3665462|9d2d4512c93085ddf5dadbd5754f15907ead5529db1b80c9e4dd915857037054|d95da32b16f6d6184ca4b9a0a221bfeba564adb9318ce83da9d4ce73ef866fce|fe471632024e4af589a468809b57397ac1cf8950cf1e4f33c8aac68d423ecf5f|08dbfcc5c2b351fd,ed13f510256c2f2a,57533520be7bdb0a,dcca0f755e9de7a4,4f1adbc84fd0a4a0,e4217e6728bb05f1,ffbbd574f433104b,ff117eda00d3c673
r|monument-probe|0|86|-12|a20ee6f559d7401a94a62a5aa1f28c57e1418583b41a78fec13d9412e254afb6|520|c38dc395c124448e18ee55efdf7f6e504743a0c508792191c8a27a8151daf4b5|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|266|9bd798024dc8fe8c6998d0287ec94e5efca0ac9cecc78808e2c6278d81edc936|37|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|72ab2f810a360c97f1362b212f5a3e96e7ab9e6c47934374c08cf312698e0d78|5c45041363e67aeeee7f9ea847c7f02350950fe5a01813b49ef6c7efcdc67e5b|67fb42502731945fcb07db8bce1c939efda813139bf509d18be2765b9444cb6f|af7625ca4ea61056620f711edeb3dd0230459ed5c4ae53264611aa25f8f1536e|4f55bbfe12f71321,fe7669136a1371f6,b99fd92e69395ce0,f1a100c349600cfc,f173601c1994ec10,0443bb8ee1e56b7e,e966ff23d346fbfd,66976c104e0c4103
r|monument-probe|0|-126|174|e28540eb6bc668801a09f57091ffa972f189026f8c3f438af42d66b2a19af885|4|eeb2f1ea933d7daf2c0ef8c76b000ad2654f491ee95feee480bdb48a4fa833e0|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|280|69a67e38e674f1d10100661e826c11b075bfd1e2c04942b8abbc42fe750dd0ec|5|0|df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119|db818b519f9f550b1528002f357a29e5f637a6a615a26f4c81a896b756e47f1a|5cf529d7f37ca59b769a1b2683c8e1f7d493989d37cd8bd70ddb726a2824a8ee|492a0fa28ec325b854fcdc2c1453e02b66759335d2706b5332eb13eff3e06b1b|b9ea6d76a8ea9d88de432ae26f33903bb3066f78f3a9d84d42a693296d372855|53b4810af25f4502,ab1dd81addfd68dc,f30eb3e194356b83,0155ef9402c0451b,d43b55f2afbb90dc,b9a6a3324603f795,97d0cd177b7c5c3d,b2171ff2b60f8b3e
total|9
